Task,Random,Human,PPO,SimPLe,SPR,TWM,IRIS,Dreamer
Alien,228,7128,276,617,842,675,420,1118
Amidar,6,1720,26,74,180,122,143,97
Assault,222,742,327,527,566,683,1524,683
Asterix,210,8503,292,1128,962,1117,854,1062
BankHeist,14,753,14,34,345,467,53,398
BattleZone,2360,37188,2233,4031,14834,5068,13074,20300
Boxing,0,12,3,8,36,78,70,82
Breakout,2,30,3,16,20,20,84,10
ChopperCommand,811,7388,1005,979,946,1697,1565,2222
CrazyClimber,10780,35829,14675,62584,36700,71820,59324,86225
DemonAttack,152,1971,160,208,518,350,2034,577
Freeway,0,30,2,17,19,24,31,0
Frostbite,65,4335,127,237,1171,1476,259,3377
Gopher,258,2412,368,597,661,1675,2236,2160
Hero,1027,30826,2596,2657,5859,7254,7037,13354
Jamesbond,29,303,41,100,366,362,463,540
Kangaroo,52,3035,55,51,3617,1240,838,2643
Krull,1598,2666,3222,2205,3682,6349,6616,8171
KungFuMaster,258,22736,2090,14862,14783,24555,21760,25900
MsPacman,307,6952,366,1480,1318,1588,999,1521
Pong,-21,15,-20,13,-5,19,15,-4
PrivateEye,25,69571,100,35,86,87,100,3238
Qbert,164,13455,317,1289,866,3331,746,2921
RoadRunner,12,7845,602,5641,12213,9109,9615,19230
Seaquest,68,42055,305,683,558,774,661,962
UpNDown,533,11693,1502,3350,10859,15982,3546,46910