Task,Random,Gamer,Record,PPO,MuZero,Dreamer
Alien,228,7128,251916,5476,56835,10977
Amidar,6,1720,104159,817,1517,3612
Assault,222,742,8647,6673,42742,26010
Asterix,210,8503,1000000,47190,879375,441763
Asteroids,719,47389,10506650,2479,374146,348684
Atlantis,12850,29028,10604840,539721,1353617,1553222
BankHeist,14,753,82058,946,1077,1083
BattleZone,2360,37188,801000,27816,167412,419653
BeamRider,364,16926,999999,7973,201154,37073
Berzerk,124,2630,1057940,1186,1698,10557
Bowling,23,161,300,118,133,250
Boxing,0,12,100,98,100,100
Breakout,2,30,864,299,799,384
Centipede,2091,12017,1301709,51833,774421,554553
ChopperCommand,811,7388,999999,12667,8945,802698
CrazyClimber,10780,35829,219900,93176,184394,193204
Defender,2874,18689,6010500,38270,554492,579875
DemonAttack,152,1971,1556345,8229,142509,142109
DoubleDunk,-19,-16,22,16,23,24
Enduro,0,860,9500,1887,2369,2166
FishingDerby,-92,-39,71,43,58,82
Freeway,0,30,38,33,0,34
Frostbite,65,4335,454830,1123,17087,41888
Gopher,258,2412,355040,24792,122025,87600
Gravitar,173,3351,162850,3436,10301,12570
Hero,1027,30826,1000000,31967,36063,40677
IceHockey,-11,1,36,12,26,57
Jamesbond,29,303,45550,1019,14872,24010
Kangaroo,52,3035,1424600,7769,14380,12229
Krull,1598,2666,104100,9193,11476,69858
KungFuMaster,258,22736,1000000,32335,148936,154893
MontezumaRevenge,0,4753,1219200,2368,0,1852
MsPacman,307,6952,290090,7041,51310,24079
NameThisGame,2292,8049,25220,19441,85331,77809
Phoenix,761,7243,4014440,31412,105593,316606
Pitfall,-229,6464,114000,-2,0,0
Pong,-21,15,21,19,21,20
PrivateEye,25,69571,101800,73,100,26432
Qbert,164,13455,2400000,14554,102129,201084
Riverraid,1338,17118,1000000,14860,137983,48080
RoadRunner,12,7845,2038100,423995,604083,150402
Robotank,2,12,76,63,70,132
Seaquest,68,42055,999999,1927,399764,356584
Skiing,-17098,-4337,-3272,-29926,-30000,-29965
Solaris,1236,12327,111420,2368,5860,5851
SpaceInvaders,148,1669,621535,3489,3639,15005
StarGunner,664,10250,77400,53439,127417,408961
Surround,-10,6,6,6,9,9
Tennis,-24,-8,21,-1,0,-3
TimePilot,3568,5229,65300,17250,427209,314947
Tutankham,11,168,5384,225,235,395
UpNDown,533,11693,82840,83743,522962,614065
Venture,0,1188,38900,953,0,0
VideoPinball,16257,17668,89218328,382306,775304,940631
WizardOfWor,564,4756,395300,10910,0,99136
YarsRevenge,3093,54577,15000105,137164,846061,675774
Zaxxon,32,9173,83700,13599,58115,78443